Title,Tag,Image URL,Article URL,Author,Date,Content
"100 Password yang Mudah Diretas Kurang dari 1 Detik, Sebaiknya Jangan Dipakai",Tren,https://asset.kompas.com/crops/xVli37leWbVxW5OiXV0J5GH_Z34=/159x699:1428x1546/230x152/data/photo/2025/05/07/681b204fb5fa0.png,https://www.kompas.com/tren/read/2025/05/07/203000165/100-password-yang-mudah-diretas-kurang-dari-1-detik-sebaiknya-jangan,"Retia Kartika Dewi, Inten Esti Pratiwi","07/05/2025, 20:30 WIB","KOMPAS.com- Kekuatanpasswordsangat penting dalam menjaga keamanan akun seseorang dari ancaman peretasan dan penyalahgunaan data.
Passwordyang lemah atau mudah ditebak dapat dibobol oleh program atau individu yang berniat jahat.
Jika akun yang diretas berisi informasi pribadi, finansial, atau data penting lainnya, maka pengguna berisiko mengalami kerugian besar, baik secara materi maupun nonmateri.
Pengelolapassworddaring,NordPass, telah meriset keamanan kata sandi yang digunakan oleh individu atau perusahaan di dunia.
Metode yang digunakan NordPass adalah dengan meninjau dan menganalisis basis data sebesar 2,5 TB yang diambil dari berbagai sumber yang tersedia untuk umum, termasuk yang ada didark web.
Tidak ada data pribadi yang diperoleh atau dibeli untuk melakukan studi ini.
Mereka menganalisis kata sandi yang dicuri olehmalwareatau terekspos dalam kebocoran data.
Dalam sebagian besar kasus, kata sandi tersebut dibocorkan melalui alamat email, sehingga NordPass dapat membedakan kredensial perusahaan dan pribadi berdasarkan nama domain.
Baca juga:Lupa Password Instagram? Begini Cara Mengatasinya
Dilansir dari situs resmiNordPass, mereka membeberkan ada 100passworddari akun pribadi yang bisa diretas kurang dari 1 detik.
Jika Anda menggunakan salah satupasswordyang ada dalam daftar, segeralah ganti agar keamanan akun terjamin.
Berikut rincianpasswordyang bisa diretas kurang dari 1 detik, termasuk di dalamnya termasuk penggunaan simbol dan huruf besar/kecil:
Itulah daftar kata sandi ataupasswordyang dapat diretas kurang dari 1 detik oleh sistem atau individu, menurut NordPass.
Baca juga:Cara Mengubah Nama dan Password Hotspot pada Ponsel Android dan iPhone"
"Dilakukan Luna Maya Sehari Sebelum Menikah, Apa Makna Siraman?",Tren,https://asset.kompas.com/crops/OhGuZSNWfxRDP47WTyxTXitV7IM=/288x0:1683x930/230x152/data/photo/2025/05/06/6819a7b0ce0da.png,https://www.kompas.com/tren/read/2025/05/07/201500065/dilakukan-luna-maya-sehari-sebelum-menikah-apa-makna-siraman-,Intan Maharani,"07/05/2025, 20:15 WIB","KOMPAS.com- Aktris sekaligus modelLuna Mayamenikah dengan Maxime Bouttier di Bali, pada Rabu (7/5/2025).
Sehari sebelum pernikahan berlangsung, Luna melakukan prosesisiramandi The Ubud Village Resort and Hotel.
Baca juga:Cara Buat KK Baru Setelah Menikah, Tidak Perlu Surat Pengantar
Tak hanya disiarkan di saluran YouTube TS Media, potret dan video Luna mengenakan ronce melati pada bagian bahu dan kepalanya pun bertebaran di media sosial.
Prosesi siraman Luna dan Maxime dilakukan berdasarkan adat Jawa yang ditunjukkan dengan pemilihan air dari tujuh sumber mata air berbeda.
Apa makna siraman yang dilakukan Luna Maya sehari sebelum pernikahan?
Berdasarkan publikasiRumah Jurnal UINWalisongoterbitan 2013, hakikat siraman bukan sekadar mandi sebelum melaksanakan ijab kabul.
Berasal dari kata ""siram"" yang artinya mengguyur atau mandi, prosesi ini dilakukan agar seseorang bersih dari kotoran.
Bukan hanya membersihkan fisik, prosesi ini bertujuan untuk membersihkan jiwa dari dosa dan sifat-sifat negatif.
Dengan membersihkan jiwa, diharapkan agar ijab kabul berjalan lancar tanpa halangan.
Selain itu, pengantin bisa memasuki kehidupan baru sebagai suami dan istri dalam keadaan suci dan bersih.
Berdasarkan filsafat Jawa, agar mencapai tujuan ""sangkan paraning dumadi"" maka seseorang wajib membersihkan atau mensucikan diri.
Maksud dari ""sangkan paraning dumadi"" adalah ajaran leluhur orang Jawa agar manusia harus tahu dari mana dia berasal dan ke mana akan kembali.
Baca juga:Sudah Siap dengan Pertanyaan Kapan Menikah dan Kapan Punya Anak? Ini Cara Menjawabnya
Prosesi siraman berlangsung sehari sebelum ijab qabul dan waktunya ditentukan sesuai dengan kepercayaan Jawa.
Menurut kepercayaan, waktu terbaik untuk melakukan siraman adalah pukul 11.00 hingga 15.00.
Beberapa orang percaya siraman dilakukan pukul 11.00 siang karena sesuai dengan turunnya bidadari dari kahyangan."
"Kecil tapi Mematikan, Berikut 5 Serangga Paling Berbahaya di Dunia",Tren,https://asset.kompas.com/crops/WfsUC2FbpBW1EaA9j7m3z-GQ47E=/0x0:993x662/230x152/data/photo/2024/05/23/664eb1dfd7f43.jpg,https://www.kompas.com/tren/read/2025/05/07/200000365/kecil-tapi-mematikan-berikut-5-serangga-paling-berbahaya-di-dunia,Muhammad Zaenuddin,"07/05/2025, 20:00 WIB","KOMPAS.com- Serangga adalah salah satu anggota kelas filumArthropodayang memiliki tubuh bersegmen, kaki bersendi, dan rangka luar.
Dalam pengertian populer, serangga biasanya mengacu pada hewan hama atau pembawa penyakit bagi manusia.
Baca juga:6 Spesies Kadal Paling Berbahaya di Dunia, Salah Satunya adalah Komodo
Serangga-serangga berbahaya biasanya menjadi agen pembawa penyakit atau bahkan dapat membunuh melalui sengatan dan gigitan beracun.
Meski demikian, banyak juga serangga yang bermanfaat untuk manusia, seperti membantu menyerbuk tanaman, menghasilkan zat berguna, mengendalikan serangga hama lain, hingga berfungsi sebagai makanan bagi hewan lain.
Lantas, mana saja jenisserangga paling berbahaya di dunia?
Baca juga:5 Jenis Ubur-ubur Paling Berbahaya di Dunia
Berikut ini adalah beberapa serangga yang dianggap paling berbahaya di dunia:
Nyamuk (genusAnopheles) menjadiserangga paling mematikandi dunia karena memiliki dampak yang sangat besar, meski memiliki ukuran yang kecil.
Nyamuk bahkan bertanggung jawab atas banyak kematian manusia setiap tahunnya daripada hewan lain, sebut saja penyakit malaria.
Namun, sebenarnya bukan nyamuk itu sendiri yang mematikan, melainkan parasit, bakteri, dan virus yang mereka bawa dan tularkan melalui gigitannya.
Baca juga:Kasus Malaria di Medan Meningkat, Ini Beda Gejala Malaria dengan DBD
Lalat Tsetse (genusGlossina) termasukserangga paling berbahayakarena ia membawa penyakit mematikan yang disebut sleeping sickness (penyakit tidur).
Seperti malaria, penyakit ini ditularkan melalui gigitan dan disebabkan oleh parasit bersel tunggal.
Gejalanya meliputi demam, sakit kepala parah, kejang, dan gangguan siklus tidur. Jika tidak diobati, penyakit ini sering kali berakibat fatal.
Baca juga:7 Pulau Paling Berbahaya di Dunia, Ada yang Pernah Jadi Tempat Uji Coba Nuklir
Kutu (genusSiphonaptera) mungkin merupakan contoh vektor penyakit yang paling terkenal dalam sejarah, dan beberapa di antaranya bisa cukup mematikan.
Ia menularkan wabah pes dari hewan pengerat yang menginfeksi manusia. Bahkan, kutu bertanggung jawab atas kematian lebih dari 25 juta orang di Eropa pada abad ke-14."
"MKD Tetapkan Ahmad Dhani Langgar Kode Etik, Kasus Apa dan Bagaimana Sanksinya?",Tren,https://asset.kompas.com/crops/hzbjuK5vP4ePMiUuaOcM05IH-Bs=/0x0:0x0/230x152/data/photo/2025/05/07/681ae2a7b3e20.jpg,https://www.kompas.com/tren/read/2025/05/07/193000465/mkd-tetapkan-ahmad-dhani-langgar-kode-etik-kasus-apa-dan-bagaimana,Intan Maharani,"07/05/2025, 19:30 WIB","KOMPAS.com- Mahkamah Kehormatan Dewan (MKD) telah menetapkanAhmad Dhanimelanggar kode etik sebagai anggota DPR RI terkait ucapannya.
Pentolan Dewa 19 itu terbukti melanggar kode etik atas dua kasus berbeda.
Baca juga:Ahmad Dhani Dilaporkan Rayen Pono ke Bareskrim dan MKD, Apa Sanksinya?
Untuk diketahui, kedua kasus yang membuat Dhani dilaporkan sama-sama melibatkan ucapan.
Keputusan ini ditetapkan dalam sidang MKD di Kompleks Parlemen Senayan, Jakarta Pusat, pada Rabu (7/5/2025).
Pihak MKD mengambil keputusan itu berdasarkan pertimbangan hukum dan etika yang diterapkan terhadap setiap anggota dewan.
""Berdasarkan pertimbangan hukum dan etika MKD memutuskan bahwa teradu yang terhormat: Ahmad Dhani dengan nomor anggota A119 dari fraksi Partai Gerindra, telah terbukti melanggar kode etik DPR RI dan diberikan sanksi ringan,"" kata ketua MKD DPR, Nazaruddin Dek Gam dikutip dariKompas.com, Rabu (7/5/2025).
Terkait penggaran kode etik, MDK menjautuhkan anksi yang kepada Ahmad Dhani berupa teguran secara lisan.
Bukan hanya itu, MKD menghukum Dhani dengan meminta maaf kepada pihak pelapor selambat-lambatnya tujuh hari sejak keputusan dibuat.
Itu artinya Dhani harus meminta maaf sebelum Rabu (14/5/2025).
""Menyatakan teradu melakukan pelanggaran kode etik anggota DPR RI. Menghukum teradu dengan teguran lisan disertai kewajiban teradu meminta maaf kepada pengadu paling lama 7 hari sejak keputusan ini,"" jelas Ketua MKD DPR.
Sehari sebelum putusan itu dibuat, MKD juga telah meminta keterangan dari dua pelapor pada Selasa (6/5/2025).
Baca juga:Kronologi Perseteruan Ahmad Dhani Plesetkan Nama Rayen Pono
Suami penyanyi dan anggota dewan Mulan Jameela itu terlibat dua kasus terkait ucapannya.
Pertama, Dhani telah melontarkan pernyataan seksis saat membahas naturalisasi pemain sepak bola dalam rapat bersama Ketua Umum PSSI Erick Thohir.
""Tapi, usul saya kurangilah pemain yang bule, dalam tanda kutip yang rasnya rambut pirang, mata biru, karena kalau menurut saya untuk Indonesia kurang enak dilihat,"" kata Dhani dalam rapat yang digelar pada Rabu (5/3/2025).
""Kalau bisa dicari yang mungkin yang rasnya mirip-mirip dengan kita. Entah itu dari Korea, Afrika, yang mirip-mirip dengan kita,"" lanjutnya."
Murdaya Poo dan Kesetaraan Warga Negara,Tren,https://asset.kompas.com/crops/u1envqps7Vy85h1vwYd-w1uauXg=/0x0:0x0/230x152/data/photo/2025/05/06/6819c46b4afa2.jpg,https://www.kompas.com/tren/read/2025/05/07/192910265/murdaya-poo-dan-kesetaraan-warga-negara,,"07/05/2025, 19:29 WIB","JENAZAHpengusaha terkemukaMurdaya Poo(Poo Tjie Guan), tokoh Budha, dikremasi di bukit Dagi, kawasan Candi Borobudur, Jawa Tengah, 7 Mei 2025, setelah meninggal tepat sebulan sebelumnya di Singapura. Acara itu berdekatan dengan peringatan Waisak tahun 2025.
Selain dari jaringan bisnis, ia meninggalkan warisan peraturan tentang kesetaraan antaretnis di Indonesia. Ia menjadi pimpinan Pansus (panitia khusus) dan Panja (panitia kerja) DPR tentang Undang-Undang Kewarganegaraan (2006) dan Undang-Undang tentang Penghapusan Diskriminasi Ras dan Etnis (2008).
Institut Kewarganegaraan Indonesia tahun 2019 menerbitkan risalah atau arsip perdebatan di DPR tentang proses lahirnya Undang-Undang Kewarganegaraan sebanyak dua jilid setebal 1150 halaman.
UU ini telah mengubah secara mendasar politik hukum kewarganegaraan di Indonesia yang sebelumnya masih bersifat diskriminatif karena membedakan antara “orang Indonesia asli” dengan “tidak asli”.
Baca juga:Murdaya Poo Dikremasi di Bukit Dagi Borobudur, Abu Jenazah Akan Dibawa Saat Waisak
Hal ini menyebabkan terjadinya diskrinasi terhadap ras dan etnik tertentu yang dianggap tidak “asli Indonesia”.
UU ini disebut “revolusioner” karena terjadi pergantian butir penentu kewarganegaraan dari yang bersifat ras dan etnis menjadi faktor hukum semata-mata (Fasal 2 UU Kewarganegaraan).
UU tentang penghapusan diskriminasi ras dan etnis tahun 2008 mengatur sanksi pidana bagi pihak yang melakukan tindakan diskriminasi ras dan etnis.
Sebelum mengakhiri masa pemerintahannya, Susilo Bambang Yudhoyono mengeluarkan Keppres No 12/2014 tentang pemakaian istilah Tionghoa dan Tiongkok untuk menggantikan istilah China yang sejak era Orde Baru dibuat berkonotasi negatif.
Tahun 1967, Presidium Kabinet Ampera mengeluarkan Surat Edaran tentang pemakaian istilah “Tjina” menggantikan Tionghoa dan Tiongkok. Tiga pilar budaya “Tjina” (sekolah, pers dan organisasi) dilarang.
Tulisan ini bersifat pragmentaris tidak utuh. Hanya mengungkapkan jasa Murdaya Poo dalam hal mewujudkan kesetaraan antara komponen bangsa tanpa diskriminasi.
Hal ini dilakukannya ketika menjadi anggota DPR dari Fraksi PDIP sekaligus pengurus partai tersebut 2005-2009.
Murdaya adalah anggota GMNI dan kabarnya mempersiapkan kantor untuk PP Alumni GMNI di Cikini Raya, Jakarta. Latar belakang itu tampaknya yang menyebabkan ia bergabung dengan PDIP pada awal reformasi.
Namun, kita tidak ketahui bagaimana caranya ia sukses dalam berbisnis. Cuma disebutkan ia pernah jadi penjual koran, tapi kemudian menjadi pemilik mal.
Ia lahir di Blitar tahun 1941, menempuh sekolah menengah di Malang, kemudian masuk Fakultas Ekonomi UI.
Ia mendirikan perusahaan kontruksi tahun 1972. Menikah tahun 1971 dengan Siti Hartati (Chow Lie Ing) dan dikaruniai empat anak yang sebagian ikut mengurus bisnisnya sekarang."
Benarkah Minum Obat Maag Bisa Picu Kanker Lambung? Ini Penjelasan Ahli Farmasi,Tren,https://asset.kompas.com/crops/hWLSwxgE4tHVfdIHOWcWQKfgke4=/0x0:750x500/230x152/data/photo/2025/05/07/681b382981319.jpg,https://www.kompas.com/tren/read/2025/05/07/191500465/benarkah-minum-obat-maag-bisa-picu-kanker-lambung-ini-penjelasan-ahli,"Alinda Hardiantoro, Inten Esti Pratiwi","07/05/2025, 19:15 WIB","KOMPAS.com- Sakit maag bisa kambuh kapan saja dan menimbulkan efek yang mengganggu.
Maag adalah kondisi peradangan pada lapisan pelindung lambung atau mukosa. Mukosa ini berguna untuk melindungi lambung dari cairan asam lambung yang digunakan untuk mencerna makanan.
Saat maag kambuh, penderita akan merasa nyeri di bagian perut bawah yang sensasinya tidak kunjung hilang. Dalam beberapa kasus, dapat diikuti dengan mual, muntah, dan pusing, serta tubuh lemas.
Penanganan paling cepat untuk meredakan gejala maag adalah minumobat maag.
Namun, beredar informasi di media sosial TikTok yang mengatakan bahwa minum obat maag bisa menyebabkankanker lambung.
Lantas, benarkah informasi tersebut?
Baca juga:Makanan Minuman Terbaik dan Terburuk untuk Penderita Maag, Apa Saja?
Dosen Fakultas Farmasi UGM, Zullies Ikawati mengatakan, minum obat maag, terutama dari golongan proton pump inhibitor (PPI) seperti omeprazole, lansoprazole, atau pantoprazole, tidak secara langsung menyebabkan kanker lambung.
Dia menjelaskan, konsumsi obat maag dapat meningkatkan risiko kondisi tertentu seperti kanker lambung jika dikonsumsi dalam jangka panjang tanpa pengawasan dokter.
Hal tersebut terjadi karena konsumsi obat maag golongan PPI dalam jangka panjang bisa mengubah lingkungan di lambung.
""Obat-obatan ini bekerja dengan menurunkan produksi asam lambung yang pada kondisi kronis dapat menyebabkan perubahan pada lingkungan lambung,"" kata Zullies, saat dikonfirmasiKompas.com,Selasa (6/5/2025).
""Salah satu risikonya adalah berkembangnya bakteri sepertiHelicobacter pyloriyang diketahui sebagai salah satu penyebab utama kanker lambung,"" imbuhnya.
Di sisi lain, penurunan asam lambung juga dapat menyebabkan peningkatan kadar hormon gastrin yang dalam jangka panjang memicu pertumbuhan sel tertentu di lambung.
Meski risikonya kecil, Zullies mengatakan, penting bagi masyarakat untuk menggunakan obat maag sesuai dengan petunjuk medis agar aman dan efektif.
Baca juga:Manfaat Menambahkan Soda Kue ke Dalam Kopi, Baik bagi Penderita Maag
Lebih lanjut, Zullies menerangkan efek samping terlalu sering mengonsumsi obat maag dalam jangka panjang, terutama yang golongan PPI.
Salah satu efek sampingnya adalah gangguan penyerapan nutrisi penting seperti vitamin B12, zat besi, kalsium, dan magnesium yang dapat menyebabkan anemia, kerapuhan tulang (osteoporosis), atau gangguan saraf."
Di Mana Stasiun Kereta Api Pertama di Indonesia?,Tren,https://asset.kompas.com/crops/TJpuM8LSOpcq2HEiHBhvnKjM1rc=/217x0:1280x709/230x152/data/photo/2025/05/07/681b0d38f1c75.jpeg,https://www.kompas.com/tren/read/2025/05/07/190000765/di-mana-stasiun-kereta-api-pertama-di-indonesia-,Muhammad Zaenuddin,"07/05/2025, 19:00 WIB","KOMPAS.com- Sejarah mencatat, Stasiun Samarang NIS merupakan stasiun kereta api pertama yang ada di Indonesia. Dulu, lokasinya berada di Semarang, Jawa Tengah.
Pada 10 Agustus 1867, untuk pertama kali resmi dioperasikan angkutan penumpang kereta api dari Stasiun Samarang menuju Tangoeng (Tanggung)
Kereta api menempuh jalur sepanjang 25 kilometer melintasi Halte Allas-Toewa (Alas Tua) dan Broemboeng (Brumbung).
Baca juga:KRL Jabodetabek Uji Coba Kereta Baru Buatan Dalam Negeri
Dilansir dari lamanKompas.com(1/3/2023), pembangunan stasiun Samarang dan jalur berlangsung selama tiga tahun, dimulai pada 17 Juni 1864 oleh Gubernur Jenderal Hindia Belanda LAJW Baron Sloet va Beele.
Perusahaan swasta Belanda,Nederlandsch-Indische Spoorweg Maatschappij (NIS), yang berperan dalam lahirnya Stasiun Semarang.
Jalur rel pertama dibangun pada 1864-1867 sepanjang 25 kilometer dan menghubungkan Stasiun Samarang hingga Stasiun Tangoeng (Tanggung).
Baca juga:Daftar 21 Stasiun yang Pakai Face Recognition KAI, Mana Saja?
Belanda membangun jalur tersebut agar bisa mengangkut hasil bumi berupa kopi, tembakau, teh, dan gula menuju pelabuhan.
Stasiun itu kemudian tumbuh menjadi maskapai kereta api terbesar di antara 18 maskapai yang pernah beroperasi di Indonesia.
Namun, stasiun Samarang tidak lagi berfungsi sejak Jepang masuk ke Indonesia dan bangunannya digunakan oleh warga, khususnya pensiunan pegawai KA, sebagai tempat tinggal.
Baca juga:Daftar 7 Kota Tertua di Indonesia, Ada di Mana Saja?
Bangunan Stasiun Samarang juga telah banyak dirombak sehingga hanya menyisakan sedikit ciri fisik sebuah stasiun.
Bahkan saat ini, jejak kompleks stasiun bersejarah itu telah banyak yang hilang. Penurunan permukaan tanah membuat kawasan mudah tergenang limpasan air laut pasang (rob) dan berubah jadi rawa.
Dikutip dari lamanKompas.com, Selasa (6/5/2025), berikut adalah beberapastasiun kereta api tertua di Indonesiayang masih beroperasi sampai dengan saat ini:
Baca juga:5 Jembatan Terpanjang di Indonesia, Ada di Mana Saja?
Sampai saat ini, kereta api masih menjadi alternatif transportasi bagi masyarakat Indonesia untuk bepergian dalam waktu singkat dengan harga yang terjangkau."
"BRIN Prediksi Idul Adha 2025 Berpotensi Beda, Ini Alasannya",Tren,https://asset.kompas.com/crops/fLurmYzAbWAI5kkdQEvPH1x6L3g=/0x0:3000x2000/230x152/data/photo/2024/06/16/666eb29366422.jpeg,https://www.kompas.com/tren/read/2025/05/07/183000165/brin-prediksi-idul-adha-2025-berpotensi-beda-ini-alasannya,"Alinda Hardiantoro, Inten Esti Pratiwi","07/05/2025, 18:30 WIB","KOMPAS.com- Badan Riset dan Inovasi Nasional atauBRINmemprediksi LebaranIdul Adha 2025berpotensi berbeda antara pemerintah dan Muhammadiyah.
Hal itu diungkap oleh Profesor Riset Astronomi dan Astrofisika BRIN, Thomas Djamaluddin saat dihubungiKompas.com,Rabu (7/5/2025).
""Ya, ada potensi beda, karena rukyat di Aceh ada potensi gagal,"" kata dia.
Menurut perkiraan BRIN, Idul Adha tahun ini akan dirayakan pada6 Juni 2025 atau 7 Juni 2025.
Perlu diketahui, Idul Adha adalah perayaan umat Islam pada 10 Zulhijah dengan menyembelih hewan kurban untuk memperingati perintah Allah kepada Nabi Ibrahim yang diutus menyembelih domba sebagai pengganti putranya, Nabi Ismail.
Lantas, mengapaLebaran Idul Adha 2025berpotensi berbeda?
Baca juga:Kapan Lebaran Idul Adha 2025 Versi Pemerintah dan Muhammadiyah?
Thomas menerangkan soal alasan mengapa rukyat di Aceh berpotensi gagal sehingga Lebaran Idul Adha 2025 diperkirakan berbeda.
Hal ini karena berdasarkan analisis garis tanggal, pada saat petang hari atau Maghrib 27 Mei 2025 di wilayah Indonesia, posisi Bulan telah memenuhi batas kriteria Majelis Ulama Brunei Darussalam, Indonesia, Malaysia, dan Singapura (MABIMS), khususnya di wilayah Aceh.
Kriteria MABIMS adalah ketinggian hilal minimal 3 derajat dan elongasi atau jarak sudut antara Bulan dan Matahari minimal 6,4 derajat. Kriteria ini merupakan pembaruan dari kriteria sebelumnya yang digunakan untuk menentukan awal bulan Hijriah.
""Pada saat Maghrib 27 Mei 2025 di wilayah Indonesia, posisi Bulan telah memenuhi batas kriteria MABIMS di wilayah Aceh, yaitu tinggi hilal minimal 3 derajat dan elongasi 6,4 derajat,"" kata Thomas.
Berdasarkan data tersebut, 1 Zulhijah 1446 jatuh pada Rabu, 28 Mei 2025.
Ini artinya, Lebaran Idul Adha berdasarkan hisab, akan dirayakan padaJumat, 6 Juni 2025.
Namun, rukyat tersebut berpotensi gagal karena belum memenuhi kriteria Odeh.
""Menurut kriteria Odeh, hilal belum bisa dirukyat di wilayah Asia Tenggara. Rukyat di Aceh ada potensi gagal,"" lanjut Thomas.
Dengan begitu, ada potensi Idul Adha 2025 jatuh padaSabtu, 7 Juni 2025."
"Muncul Notifikasi Pembayaran ShopeePay meski Tak Lakukan Transaksi, Lakukan Hal Ini",Tren,https://asset.kompas.com/crops/DvXp8MvWLrPf73cslG3_UDyY-i4=/0x0:1000x667/230x152/data/photo/2024/08/02/66ac6537aae41.jpg,https://www.kompas.com/tren/read/2025/05/07/181500265/muncul-notifikasi-pembayaran-shopeepay-meski-tak-lakukan-transaksi-lakukan,"Rheandita Vella Aresta, Ahmad Naufal Dzulfaroh","07/05/2025, 18:15 WIB","KOMPAS.com- Media sosial X diramaikan dengan unggahan warganet yang mengaku menerima notifikasi pembayaran gagal dariShopeePay. Padahal, ia tidak melakukan transaksi pembelian apa pun.
Dalam unggahan yang dibagikan oleh akun@ta***k****pada Minggu (4/5/2025), pengunggah mengaku khawatir usai menerima notifikasi itu.
Pengunggah juga menyertakan tangkapan layar notifikasi dari ShopeePay yang bertuliskan,""Pembayaran sebesar Rp532.800 gagal karena tidak ada metode pembayaran yang valid. Klik di sini untuk aktifkan SPayLater agar pembayaran tidak gagal"".
""Sender nggak aktifin Spaylater tapi kenapa tetiba ada notif gini ya? jujur takut"",tulis pengunggah, Minggu.
Beberapa warganet yang pernah mengalami hal serupa mulanya mengira bahwa akun mereka telah terkenahack.
Lantas, apa yang harus dilakukan jika mengalami kondisi di atas?
Baca juga:4 Cara Top Up atau Isi Saldo ShopeePay Online dan Offline
Baca juga:Cara Daftar Merchant ShopeePay dan ShopeeFood lewat HP
Dilansir dari laman resmiShopee, pengguna perlu mengecek beberapa hal berikut jika terdapat transaksi yang tidak dikenal seperti dalam unggahan atau saldo ShopeePay tiba-tiba terpotong:
Biasanya, salah satu penyebab muncul notifikasi itu adalah langganan atausubscriptionGoogle Play yang dipilih dengan metode pembayaran ShopeePay.
Apabila notifikasi tersebut disebabkan oleh layanan Google Play yang terhubung pada ShopePay, berikut cara menghentikannya.
Baca juga:Beraksi di Iklan Shopee, Ronaldinho Jadi Perbincangan Netizen dan Trending di Medsos
Selain itu, terdapat beberapa langkah yang dapat dilakukan untuk menghentikan langganan Google Play agar tidak memotong saldo apa pun.
Cara stop langganan melalui aplikasi Playstore:
Cara stop langganan melalui website Google Play:
Apabila transaksi sudah dilakukan, Google Play memfasilitasi pengembalian dana dengan syarat dan ketentuan yang dapat di akses melalui laman bantuan Google Play."
"Sejarah Penggunaan Asap Hitam-Putih Saat Konklaf, Sudah Dimulai sejak 1274",Tren,https://asset.kompas.com/crops/50D8XHBz2NdT8A6QCVuFSkN9u00=/0x0:1748x1165/230x152/data/photo/2025/04/25/680b84ee4eb3b.png,https://www.kompas.com/tren/read/2025/05/07/180000865/sejarah-penggunaan-asap-hitam-putih-saat-konklaf-sudah-dimulai-sejak-1274,"Retia Kartika Dewi, Inten Esti Pratiwi","07/05/2025, 18:00 WIB","KOMPAS.com- Pemimpin umat Katolik dunia, Paus Fransiskus, meninggal di usia 88 tahun dan telah dimakamkan di Santa Maria Maggiore, Italia.
Setelah proses pemakaman Paus Fransiskus usai, perhatian umat Katolik dan dunia tertuju pada tahapan berikutnya dalam suksesi kepemimpinan Gereja Katolik, yaknikonklafatau proses pemilihan Paus baru.
Dalam tradisi yang telah berlangsung selama berabad-abad ini, warna asap yang keluar dari cerobong Kapel Sistina saat konklaf menjadi simbol penting yang dinanti publik.
Asap hitam mengartikan bahwa Paus baru belum terpilih dan pemilihan suara kembali dilakukan oleh para kardinal.
Sementara, asap putih menandakan bahwa sudah ada Paus baru yang terpilih melalui pemilihan suara.
Sebagai informasi, konklaf sendiri dimulai pada hari ini, Rabu (7/5/2025).
Baca juga:Konklaf Dimulai Hari Ini, Berikut 5 Kardinal Terkuat Calon Paus Baru
Lalu, bagaimana sejarah penggunaan asap dalam konklaf?
Berikut kisah awal mula para kardinal mengumumkan terpilihnya Paus baru menggunakan sinyal asap:
Penggunaan asap putih yang menandakan bahwa para kardinal telah memilih Paus baru, ternyata sudah dilakukan sejak lama.
Dilansir dariCatholic News Agency, Selasa (6/5/2025), menurut dokumen berjudul Ubi Periculum, di tahun 1274 pada Konsili Lyons Kedua, Paus Gregorius X menetapkan prosedur penyelenggaraan konklaf.
Dalam dokumen itu, dia menetapkan pemilihan Paus baru dilakukan secara terpisah dan dengan kerahasiaan yang ketat.
Dengan alasan itu, dan untuk menghindari komunikasi dengan pihak luar, sinyal asap akhirnya diterapkan sebagai bagian dari ritual konklaf.
Dikutip dariBBC,Senin (5/5/2025), seorang insinyur struktur yang pernah bekerja di properti bersejarah, Kevin Farlam mengatakan, sinyal asap sempat membingungkan masyarakat karena warnanya yang hampir sama, alias tidak jelas perbedaannya.
""Di masa lalu, mereka mencoba membakar jerami basah untuk menghasilkan asap yang lebih gelap dan jerami kering untuk menghasilkan asap yang lebih terang,"" ujar Farlam.
""Tetapi, hal ini menimbulkan kebingungan karena terkadang warnanya tampak abu-abu,"" lanjut dia.
Baca juga:Konklaf Pemilihan Paus Baru Mulai Hari ini, 133 Kardinal Akan Pilih Paus Baru"
