Title,Price,Original Price,Discount,Stock,Delivery,Link
Samsung Galaxy A16 LTE 8/128GB - Black,Rp2.799.000,Rp2.999.000,7%,Stok: 382,Dikirim dari Kota Administrasi Jakarta Utara,https://www.tokopedia.com/samsung/samsung-galaxy-a16-lte-8-128gb-1731218206870702061?extParam=ivf%3Dfalse%26keyword%3Dsamsung&src=topads
Samsung Galaxy A06 4/64GB - Light Green,Rp1.379.000,Rp1.549.000,11%,Stok: 207,Dikirim dari Kota Administrasi Jakarta Utara,https://www.tokopedia.com/samsung/samsung-galaxy-a06-4-64gb-1730833794395047899?extParam=ivf%3Dfalse%26keyword%3Dsamsung&src=topads
N/A,N/A,N/A,N/A,N/A,N/A,https://www.tokopedia.com/samsung/samsung-galaxy-a56-5g-8-256-upgrade-dari-8-128-gb-galaxy-ai-smartphone-ai-50mp-ois-hdr-camera-45w-super-fast-charge-1731016756048136173?extParam=ivf%3Dfalse%26keyword%3Dsamsung&src=topads
Samsung Galaxy A26 5G [8/256] - Galaxy AI | Smartphone AI | Baterai 5000mAh - Light Green,Rp3.999.000,Rp4.399.000,9%,Stok: 28,Dikirim dari Kota Administrasi Jakarta Utara,https://www.tokopedia.com/samsung/samsung-galaxy-a26-5g-8-256-galaxy-ai-smartphone-ai-baterai-5000mah-1731086965852899291?extParam=ivf%3Dfalse%26keyword%3Dsamsung&src=topads
Samsung Galaxy A26 5G 8/256GB - Peach Pink Galaxy AI | Smartphone AI | Baterai 5000mAh,Rp3.999.000,Rp4.399.000,9%,Stok Total: Sisa 7,Dikirim dari Kab. Tangerang,https://www.tokopedia.com/samsungexclusivestore/samsung-galaxy-a26-5g-8-256gb-peach-pink-galaxy-ai-smartphone-ai-baterai-5000mah-1731133498333759047?extParam=ivf%3Dfalse%26keyword%3Dsamsung&src=topads
Samsung Kabel Data C to C Original - Black - Black,Rp129.000,Rp149.000,13%,Stok: 189,Dikirim dari Jakarta Pusat,https://www.tokopedia.com/h2samsung/samsung-kabel-data-c-to-c-original-black-black-10ff0?extParam=ivf%3Dfalse%26keyword%3Dsamsung%26search_id%3D202504250847225982E089C58468025LWT%26src%3Dsearch
Tempered Glass Privacy Anti Spy SAMSUNG GALAXY S25 S25PLUS S25ULTRA PLUS + ULTRA Full Glue Gores Screen Protector - SAM S25,Rp99.900,Rp220.000,55%,Stok: 999,Dikirim dari Jakarta Pusat,https://www.tokopedia.com/central168/tempered-glass-privacy-anti-spy-samsung-galaxy-s25-s25plus-s25ultra-plus-ultra-full-glue-gores-screen-protector-1730849382392431693?extParam=ivf%3Dtrue%26keyword%3Dsamsung%26search_id%3D202504250847225982E089C58468025LWT%26src%3Dsearch
"Samsung Galaxy S25 Ultra 5G 12/256GB | 12/512GB | 12/1TB - Silver Blue, 12/1TB",Rp24.159.000,Rp27.999.000,14%,Stok: Sisa 2,Dikirim dari Jakarta Pusat,https://www.tokopedia.com/h2samsung/samsung-galaxy-s25-ultra-5g-12-256gb-12-512gb-12-1tb-1730836395673945463?extParam=ivf%3Dfalse%26keyword%3Dsamsung%26search_id%3D202504250847225982E089C58468025LWT%26src%3Dsearch
Samsung Galaxy Z Flip5 Flipsuit Case,Rp145.000,Rp599.000,76%,Stok Total: 20,Dikirim dari Jakarta Pusat,https://www.tokopedia.com/h2samsung/samsung-galaxy-z-flip5-flipsuit-case?extParam=ivf%3Dfalse%26keyword%3Dsamsung%26search_id%3D202504250847225982E089C58468025LWT%26src%3Dsearch
Remote remot AC Samsung fast matahari ARXXKRFLAWKN,Rp40.750,N/A,N/A,Stok Total: 8544,Dikirim dari Jakarta Barat,https://www.tokopedia.com/gudangremoteee7/remote-remot-ac-samsung-fast-matahari-arxxkrflawkn?extParam=ivf%3Dfalse%26keyword%3Dsamsung%26search_id%3D202504250847225982E089C58468025LWT%26src%3Dsearch
