Title,Price,Original Price,Discount,Stock,Delivery,Link
"NEW Apple Macbook Air 2022 M2 Chip 13"" 8GB 256GB SSD MLXW3 MLXY3 MLY13 - MIDNIGHT, 256GB APPLE",Rp14.099.998,Rp18.299.000,23%,Stok: 17,Dikirim dari Jakarta Pusat,https://www.tokopedia.com/onestopgaming/new-apple-macbook-air-2022-m2-chip-13-8gb-256gb-ssd-mlxw3-mlxy3-mly13-midnight-256gb-apple-d2745?extParam=ivf%3Dtrue%26keyword%3Dmacbook&src=topads
MacBook Air M2 2022 Chip 13 Inch 256GB 512GB NEW Original - M1 8/256 + Cas,Rp8.850.000,N/A,N/A,Stok: Sisa 7,Dikirim dari Jakarta Selatan,https://www.tokopedia.com/soyustore/macbook-air-m2-2022-chip-13-inch-256gb-512gb-new-original-1730831284405437607?extParam=ivf%3Dtrue%26keyword%3Dmacbook&src=topads
"Apple MacBook Air M4 2025 13"" Inch 512GB 256GB RAM 16GB 24GB 16GB 256GB | 16GB 512GB | 24GB 512GB - 16GB 256GB, SKY BLUE",Rp18.649.000,N/A,N/A,Stok: Sisa 10,Dikirim dari Kota Administrasi Jakarta Barat,https://www.tokopedia.com/grenpeelstore/apple-macbook-air-m4-2025-13-inch-512gb-256gb-ram-16gb-24gb-16gb-256gb-16gb-512gb-24gb-512gb-1730992138852009684?extParam=ivf%3Dfalse%26keyword%3Dmacbook&src=topads
Macbook Air 2018 2019 13 inch Ram 8 Ssd 128gb//256Gb Second Murah - 2017 8/128GB,Rp3.880.000,N/A,N/A,Stok: Sisa 8,Dikirim dari Jakarta Selatan,https://www.tokopedia.com/soyustore/macbook-air-2018-2019-13-inch-ram-8-ssd-128gb-256gb-second-murah-2017-8-128gb-18be1?extParam=ivf%3Dfalse%26keyword%3Dmacbook&src=topads
"Macbook Pro 2024 14"" Inch M4 | M4 Pro | M4 Max 1TB 512 SSD RAM 16GB 24GB 36GB - M4 16/512GB, SILVER",Rp25.999.000,N/A,N/A,Stok: Sisa 10,Dikirim dari Kota Administrasi Jakarta Barat,https://www.tokopedia.com/grenpeelstore/macbook-pro-2024-14-inch-m4-m4-pro-m4-max-1tb-512-ssd-ram-16gb-24gb-36gb-m4-16-512gb-silver-3ec6c?extParam=ivf%3Dfalse%26keyword%3Dmacbook&src=topads
Charger Macbook PRO AIR Magsafe2 45W 60W 85W Magsafe 2 60 Watt Adapter - 45W,Rp280.000,Rp1.250.000,78%,Stok: 2.103,Dikirim dari Jakarta Pusat,https://www.tokopedia.com/originalprojkt/charger-macbook-pro-air-magsafe2-45w-60w-85w-magsafe-2-60-watt-adapter-45w-0e16c?extParam=ivf%3Dtrue%26keyword%3Dmacbook%26search_id%3D202504250522126AD837EA52A731022ZIV%26src%3Dsearch
Lcd MacBook Air A1466 A1465 A1369 A1370 A1278 Dan LCD Only A1466 A1278 - LCD Only A1278,Rp800.000,N/A,N/A,Stok: 32,Dikirim dari Jakarta Pusat,https://www.tokopedia.com/cputechnologhy/lcd-macbook-air-a1466-a1465-a1369-a1370-a1278-dan-lcd-only-a1466-a1278-lcd-only-a1278?extParam=ivf%3Dfalse%26keyword%3Dmacbook%26search_id%3D202504250522126AD837EA52A731022ZIV%26src%3Dsearch
KEPALA COLOKAN LISTRIK CHARGER MACBOOK IPAD 3 APPLE AC PLUG KAKI 2 ORI - TYPE B -ac plug,Rp22.500,N/A,N/A,Stok: 234,Dikirim dari Jakarta Pusat,https://www.tokopedia.com/originalprojkt/kepala-colokan-listrik-charger-macbook-ipad-3-apple-ac-plug-kaki-2-ori-type-b-ac-plug-8cfff?extParam=ivf%3Dtrue%26keyword%3Dmacbook%26search_id%3D202504250522126AD837EA52A731022ZIV%26src%3Dsearch
TOUCHBAR MACBOOK A1706/A1989 A1707/A1990 A2159 A2289/A2251/A2338 A2141 - A1707/A1990,Rp300.000,N/A,N/A,Stok: 49,Dikirim dari Jakarta Pusat,https://www.tokopedia.com/cputechnologhy/touchbar-macbook-a1706-a1989-a1707-a1990-a2159-a2289-a2251-a2338-a2141-a1707-a1990?extParam=ivf%3Dfalse%26keyword%3Dmacbook%26search_id%3D202504250522126AD837EA52A731022ZIV%26src%3Dsearch
"Apple Macbook Air M3 13"" inch 2024 - Garansi Resmi Apple Indonesia iBox - 8/256 GB, Starlight",Rp15.649.000,Rp19.999.000,22%,Stok: Sisa 7,Dikirim dari Kota Administrasi Jakarta Utara,https://www.tokopedia.com/universestore/apple-macbook-air-m3-13-inch-2024-garansi-resmi-apple-indonesia-ibox-8-256-gb-starlight-bda80?extParam=ivf%3Dfalse%26keyword%3Dmacbook%26search_id%3D202504250522126AD837EA52A731022ZIV%26src%3Dsearch
"LAPTOP MACBOOK PRO 2010,RAM 8 GB,SSD 128 GB",Rp1.500.000,N/A,N/A,Stok Total: Sisa 1,Dikirim dari Jakarta Pusat,https://www.tokopedia.com/shinnotebook/laptop-macbook-pro-2010-ram-8-gb-ssd-128-gb-1730810680585586681?extParam=ivf%3Dfalse%26keyword%3Dmacbook&src=topads
Apple Macbook Pro 2017 13inch i5 Non TouchBar 256GB 512GB Second - 8GB SSD 128GB,Rp4.500.000,N/A,N/A,Stok: Sisa 1,Dikirim dari Jakarta Barat,https://www.tokopedia.com/newrc/apple-macbook-pro-2017-13inch-i5-non-touchbar-256gb-512gb-second-8gb-ssd-128gb-a339d?extParam=ivf%3Dfalse%26keyword%3Dmacbook&src=topads
APPLE MacBook Air 13 M3 Chip 2024 8-Core/10-Core GPU 13.6 Resmi IBOX - 8-Core 16G/256G,Rp16.149.000,Rp20.999.000,23%,Stok: 1.426,Dikirim dari Kota Administrasi Jakarta Pusat,https://www.tokopedia.com/collinsofficial/apple-macbook-air-13-m3-chip-2024-8-core-10-core-gpu-13-6-resmi-ibox-8-core-16g-256g-0d969?extParam=ivf%3Dfalse%26keyword%3Dmacbook&src=topads
"Apple MacBook Air 2022 M2 Chip 13"" Inch 512GB 256GB RAM 8GB - Apple, 256GB MIDNIGHT",Rp14.100.000,Rp16.899.000,17%,Stok: 16,Dikirim dari Kota Administrasi Jakarta Pusat,https://www.tokopedia.com/studioponsel/apple-macbook-air-2022-m2-chip-13-inch-512gb-256gb-ram-8gb-apple-256gb-midnight-b216b?extParam=ivf%3Dfalse%26keyword%3Dmacbook&src=topads
"Apple MacBook Air M4 2025 15"" Inch 512GB 256GB RAM 16GB 24GB 16GB 256GB | 16GB 512GB | 24GB 512GB - 16GB 256GB, SKY BLUE",Rp25.199.000,N/A,N/A,Stok: Sisa 10,Dikirim dari Kota Administrasi Jakarta Barat,https://www.tokopedia.com/grenpeelstore/apple-macbook-air-m4-2025-15-inch-512gb-256gb-ram-16gb-24gb-16gb-256gb-16gb-512gb-24gb-512gb-1730992182937159380?extParam=ivf%3Dfalse%26keyword%3Dmacbook&src=topads
"Apple Macbook Air M1 M2 8GB 16GB 256GB 512GB 13"" inch - Space Gray, M1 8GB 256GB",Rp10.589.000,Rp33.999.000,69%,Stok: 249,Dikirim dari Jakarta Pusat,https://www.tokopedia.com/distrilapid/apple-macbook-air-m1-m2-8gb-16gb-256gb-512gb-13-inch-space-gray-m1-8gb-256gb-1b90b?extParam=ivf%3Dfalse%26keyword%3Dmacbook%26search_id%3D202504250522126AD837EA52A731022ZIV%26src%3Dsearch
N/A,Rp135.490,Rp195.000,31%,Stok: 3.321,Dikirim dari Kota Administrasi Jakarta Barat,https://www.tokopedia.com/unitagstore/kepala-charger-for-iphone-samsung-ipad-macbook-ugreen-adaptor-charger-nexode-300w-140w-100w-65w-45w-20w-type-c-fast-charging-1730273091131770856?extParam=ivf%3Dfalse%26keyword%3Dmacbook%26search_id%3D202504250522126AD837EA52A731022ZIV%26src%3Dsearch%26whid%3D96703
HARDCASE NEW MACBOOK AIR 13 inch 2020 2021 M1 A2337 A2237 A2179 RETINA - Keyboard,Rp45.000,N/A,N/A,Stok: Sisa 5,Dikirim dari Jakarta Pusat,https://www.tokopedia.com/originalprojkt/hardcase-new-macbook-air-13-inch-2020-2021-m1-a2337-a2237-a2179-retina-keyboard?extParam=ivf%3Dtrue%26keyword%3Dmacbook%26search_id%3D202504250522126AD837EA52A731022ZIV%26src%3Dsearch
"Anker Prime Charging 200W 6 Port GaN Desktop Charge Type C PD Fast Charging Charging Station Compatible for Iphone, Samsung, Macbook - A2683",Rp998.000,Rp2.499.000,60%,Stok Total: Sisa 2,Dikirim dari Jakarta Utara,https://www.tokopedia.com/ankerflagshipstore/anker-prime-charging-200w-6-port-gan-desktop-charge-type-c-pd-fast-charging-charging-station-compatible-for-iphone-samsung-macbook-a2683-1730868463523432119?extParam=ivf%3Dfalse%26keyword%3Dmacbook%26search_id%3D202504250522126AD837EA52A731022ZIV%26src%3Dsearch
"APPLE 30W CHARGER MACBOOK 13 AIR M1 2020-21 ADAPTER KABEL 13"" ORIGINAL - 30Watt ONLY",Rp325.000,N/A,N/A,Stok: 1.581,Dikirim dari Jakarta Pusat,https://www.tokopedia.com/originalprojkt/apple-30w-charger-macbook-13-air-m1-2020-21-adapter-kabel-13-original-30watt-only-ea0d5?extParam=ivf%3Dfalse%26keyword%3Dmacbook%26search_id%3D202504250522126AD837EA52A731022ZIV%26src%3Dsearch
"MOVIO Laptop Sleeve - Tas Laptop Premium / Cover Case - Macbook - Hitam, 11/12 Inch",Rp59.000,Rp149.000,60%,Stok: 321,Dikirim dari Kota Administrasi Jakarta Barat,https://www.tokopedia.com/movioofficialstore/movio-laptop-sleeve-tas-laptop-premium-cover-case-macbook-hitam-11-12-inch?extParam=ivf%3Dfalse%26keyword%3Dmacbook%26search_id%3D202504250522126AD837EA52A731022ZIV%26src%3Dsearch
"sleeve leather macbook new air 11 12 13 15 pro retina touch bar laptop - Cokelat, 11 INCH",Rp147.000,N/A,N/A,Stok: 27,Dikirim dari Jakarta Pusat,https://www.tokopedia.com/originalprojkt/sleeve-leather-macbook-new-air-11-12-13-15-pro-retina-touch-bar-laptop-cokelat-11-inch-8a9ee?extParam=ivf%3Dtrue%26keyword%3Dmacbook%26search_id%3D202504250522126AD837EA52A731022ZIV%26src%3Dsearch
